t,D0.2,D0.5,D0.8,D1.0,D1.2
16.888444222111055,1.0279804193495297,0.9999913209057314,1.0000022064935905,0.9999991720303117,0.9998373485372549
16.898449224612307,1.0277202258179332,0.9999935049386144,1.0000021917884991,0.9999991798143752,0.9998382195432363
16.908454227113555,1.0274583022716413,0.9999956678760994,1.000002177099283,0.9999991875255116,0.9998390858849409
16.918459229614808,1.0271946817862938,0.9999978097127646,1.000002162427149,0.9999991951644015,0.9998399475873463
16.928464232116056,1.0269293974749496,0.9999999304453441,1.0000021477732823,0.999999202731719,0.9998408046752961
16.93846923461731,1.0266624824846284,1.0000020300727062,1.0000021331388487,0.9999992102281322,0.999841657173501
16.94847423711856,1.0263939699928644,1.0000041085958324,1.0000021185249923,0.9999992176543028,0.9998425051065393
16.95847923961981,1.0261238932042693,1.000006166017797,1.0000021039328377,0.9999992250108864,0.9998433484988575
16.96848424212106,1.025852285347108,1.0000082023437447,1.0000020893634893,0.9999992322985327,0.9998441873747715
16.97848924462231,1.0255791796698837,1.0000102175808705,1.0000020748180316,0.9999992395178849,0.9998450217584669
16.988494247123562,1.025304609437936,1.0000122117383985,1.0000020602975297,0.9999992466695807,0.9998458516739996
16.99849924962481,1.0250286079300512,1.0000141848275599,1.0000020458030292,0.9999992537542517,0.999846677145297
17.008504252126063,1.0247512084350825,1.000016136861573,1.0000020313355564,0.9999992607725235,0.9998474981961579
17.018509254627315,1.0244724442485853,1.0000180678556212,1.0000020168961188,0.9999992677250161,0.9998483148502542
17.028514257128563,1.0241923486694642,1.0000199778268326,1.000002002485705,0.9999992746123436,0.9998491271311306
17.038519259629815,1.0239109549966328,1.0000218667942586,1.0000019881052853,0.9999992814351145,0.999849935062206
17.048524262131064,1.023628296525687,1.000023734778853,1.0000019737558112,0.9999992881939315,0.9998507386667737
17.058529264632316,1.0233444065455932,1.0000255818034507,1.0000019594382163,0.9999992948893918,0.9998515379680023
17.068534267133565,1.0230593183353873,1.0000274078927471,1.0000019451534161,0.9999993015220869,0.9998523329889366
17.078539269634817,1.0227730651608913,1.000029213073277,1.0000019309023083,0.9999993080926032,0.9998531237524976
17.08854427213607,1.0224856802714424,1.0000309973733932,1.0000019166857728,0.999999314601521,0.9998539102814837
17.098549274637318,1.0221971968966372,1.000032760823246,1.0000019025046725,0.9999993210494159,0.9998546925985714
17.10855427713857,1.0219076482430913,1.0000345034547626,1.000001888359853,0.9999993274368576,0.9998554707263154
17.11855927963982,1.0216170674912128,1.0000362253016255,1.0000018742521424,0.9999993337644109,0.9998562446871501
17.12856428214107,1.0213254877919935,1.0000379263992523,1.0000018601823526,0.9999993400326349,0.9998570145033892
17.13856928464232,1.0210329422638138,1.0000396067847743,1.0000018461512785,0.9999993462420841,0.9998577801972273
17.14857428714357,1.0207394639892649,1.0000412664970166,1.0000018321596986,0.9999993523933073,0.9998585417907401
17.158579289644823,1.0204450860119862,1.0000429055764763,1.0000018182083752,0.9999993584868484,0.999859299305885
17.168584292146072,1.0201498413335208,1.0000445240653029,1.0000018042980543,0.9999993645232463,0.9998600527645018
17.178589294647324,1.019853762910186,1.0000461220072765,1.000001790429466,0.999999370503035,0.9998608021883135
17.188594297148573,1.0195568836499622,1.0000476994477885,1.000001776603325,0.9999993764267432,0.9998615475989266
17.198599299649825,1.0192592364093978,1.00004925643382,1.0000017628203297,0.9999993822948948,0.999862289017832
17.208604302151073,1.0189608539905326,1.0000507930139215,1.0000017490811641,0.999999388108009,0.9998630264664055
17.218609304652325,1.018661769137839,1.0000523092381932,1.0000017353864963,0.9999993938666,0.9998637599659083
17.228614307153578,1.0183620145351804,1.0000538051582633,1.0000017217369797,0.9999993995711772,0.9998644895374879
17.238619309654826,1.018061622802788,1.000055280827269,1.0000017081332524,0.9999994052222455,0.9998652152021784
17.24862431215608,1.0177606264942565,1.0000567362998347,1.0000016945759385,0.9999994108203047,0.9998659369809015
17.258629314657327,1.0174590580935583,1.0000581716320536,1.000001681065647,0.9999994163658504,0.9998666548944668
17.26863431715858,1.017156950012076,1.0000595868814655,1.0000016676029726,0.9999994218593733,0.9998673689635722
17.27863931965983,1.016854334585655,1.0000609821070383,1.0000016541884962,0.9999994273013595,0.9998680792088052
17.28864432216108,1.0165512440716744,1.000062357369147,1.0000016408227843,0.9999994326922907,0.9998687856506425
17.298649324662332,1.0162477106461378,1.000063712729554,1.0000016275063899,0.9999994380326442,0.9998694883094518
17.30865432716358,1.0159437664007847,1.0000650482513889,1.0000016142398522,0.9999994433228927,0.9998701872054911
17.318659329664833,1.01563944334022,1.0000663639991287,1.0000016010236967,0.9999994485635044,0.9998708823589104
17.32866433216608,1.0153347733790665,1.0000676600385785,1.0000015878584358,0.9999994537549435,0.9998715737897514
17.338669334667333,1.015029788339134,1.0000689364368507,1.0000015747445687,0.9999994588976695,0.999872261517949
17.348674337168585,1.0147245199466124,1.0000701932623461,1.0000015616825813,0.9999994639921379,0.9998729455633306
17.358679339669834,1.0144189998292839,1.0000714305847342,1.0000015486729468,0.9999994690387999,0.9998736259456181
